name,id,slug
Элизабет Джордж,5c48b69972ebd144ef45c4f7,dzhordzh-e
Джордано Лука,5c48b6b072ebd144ef45ccd5,luka-dzhordano
Филлис Дороти Джеймс,5c48b69a72ebd144ef45c52f,dzheyms-f-d
Джованни Баттиста Пьяццетта,5c48b6b772ebd144ef45cf0e,dzhambattista-pyaccetta
Джованни Баттиста Тьеполо,5c48b6b772ebd144ef45cf12,dzhambattista-tepolo
Адольф Жан Даньян-Бувре Паскаль,5c48b68572ebd144ef45bea8,paskal-adolf-zhan-danyan-buvre
Давыдов Г.И.,5c48b67672ebd144ef45bb2d,davydov-g-i
Жан Гужон,5c48b6b072ebd144ef45cccd,guzhon-zhan
Ив Готье,5c48b69d72ebd144ef45c69b,gote-i
Филипп Готтенрот,5c48b6da72ebd144ef45da48,gottenrot-f
Николя-Жозеф Вуайе,5c4a2774f1aa5824b14b78ca,vuaye-nikolya-zhozef-starshiy
Андреа Верроккио,5c48b6af72ebd144ef45cc9d,verrokkio-andrea
Герман Вейс,5c48b6db72ebd144ef45dadd,veys-g
Вейнбаум А.А.,5c48b6ac72ebd144ef45cb8d,veynbaum-a-a
Волков Р.М.,5c48b69472ebd144ef45c319,volkov-rm
Валентин Вайгель,5c48b69972ebd144ef45c4ff,vaygel-v
Бурлюк Д.Д.,5c48b69d72ebd144ef45c67b,burlyuk-dd
Питер Брейгель,5c48b6b372ebd144ef45cde1,piter-ii-breygel-mladshiy
Джон Мозес Браунинг,5c48b6b972ebd144ef45d011,brauning-d-m
Карл Фридрих Вильгельм Борк,5c48b66c72ebd144ef45b82f,bork-karl-fridrih-vilgelm
Болдакова В.,5c48b67572ebd144ef45baa4,boldakova-viktoriya-8-let
Чжоу Фан,5c48b6cb72ebd144ef45d5fc,chzhou-fan
Жан Батист Изабе,5c48b6a672ebd144ef45c9a4,izabe-zh-b
Осваль Ахенбах,5c48b6c572ebd144ef45d3b6,ahenbah-o
Антон Йозеф Трчка,5c48b68072ebd144ef45bd3b,anton-yozef-trchka
Джованни Баттиста Фальда,5c4a2773f1aa5824b14b78c6,dzhovanni-batista-falda
Андронов А.Ф.,5c48b6ca72ebd144ef45d570,andronov-a-f
Андриянов И.А.,5c48b67772ebd144ef45bb6e,andriyanov-i-a
Пелевин И.А.,5c48b69b72ebd144ef45c59c,pelevin-i-a
